NAME,PRICE
C18000,2110
C18125,1980
C18250,1860
C18375,1730
C18500,1610
C18625,1490
C18750,1370
C18875,1250
C19000,1130
C19125,1010
C19250,890
C19375,780
C19500,670
C19625,565
C19750,430
C19875,360
C20000,295
C20125,215
C20250,165
C20375,110
C20500,78
C20625,50
C20750,34
C20875,22
C21000,14
P18000,5
P18125,6
P18250,7
P18375,9
P18500,12
P18625,14
P18750,18
P18875,22
P19000,27
P19125,34
P19250,43
P19375,55
P19500,74
P19625,94
P19750,125
P19875,160
P20000,200
P20125,275
P20250,325
P20375,395
P20500,485
P20625,585
P20750,690
P20875,805
P21000,920
