NAME,PRICE
C18000,1038
C18125,928
C18250,822
C18375,722
C18500,627
C18625,540
C18750,459
C18875,386
C19000,320
C19125,262
C19250,212
C19375,169
C19500,133
C19625,104
C19750,79
C19875,60
C20000,44
C20125,32
C20250,23
C20375,16
C20500,11
C20625,8
C20750,5
C20875,3
C21000,2
P18000,36
P18125,51
P18250,70
P18375,95
P18500,125
P18625,162
P18750,207
P18875,258
P19000,318
P19125,385
P19250,460
P19375,542
P19500,631
P19625,726
P19750,827
P19875,932
P20000,1042
P20125,1155
P20250,1271
P20375,1389
P20500,1509
P20625,1630
P20750,1753
P20875,1876
P21000,2000
